customerID,ActualChurn,ChurnProbability,RiskCategory
4376-KFVRS,0,0.037895194958287366,Low Risk
2754-SDJRD,0,0.7932319597239148,High Risk
9917-KWRBE,0,0.06690825862657519,Low Risk
0365-GXEZS,0,0.3363970316533148,Medium Risk
9385-NXKDA,0,0.03847567447093761,Low Risk
4686-UXDML,0,0.5802527303203361,Medium Risk
2227-JRSJX,0,0.44396215672794187,Medium Risk
4830-FAXFM,0,0.10318203962508125,Low Risk
1830-IPXVJ,0,0.02085353954779783,Low Risk
4690-LLKUA,1,0.34342222187383586,Medium Risk
5804-HYIEZ,0,0.3152496974610012,Medium Risk
2388-LAESQ,0,0.03790566376668705,Low Risk
5533-RJFTJ,0,0.18993950731439144,Low Risk
4706-AXVKM,1,0.6506148339321723,High Risk
0997-YTLNY,0,0.13285497370453797,Low Risk
7971-HLVXI,0,0.07765466491203524,Low Risk
7337-CINUD,0,0.031037996352211022,Low Risk
1379-FRVEB,0,0.6030406630231151,High Risk
4753-PADAS,0,0.21047580122942502,Low Risk
5701-GUXDC,0,0.05970673047689636,Low Risk
7235-NXZCP,1,0.7079386931545806,High Risk
0668-OGMHD,0,0.242668859976157,Low Risk
2812-REYAT,0,0.0362533185640916,Low Risk
8779-YIQQA,0,0.038504080285352724,Low Risk
9701-CDXHR,0,0.18415391442580398,Low Risk
7130-CTCUS,0,0.1758710443257362,Low Risk
1894-IGFSG,1,0.39355583299810887,Medium Risk
0871-URUWO,1,0.6895798069848278,High Risk
0057-QBUQH,0,0.03127505865216121,Low Risk
9611-CTWIH,1,0.7501335878637297,High Risk
8058-DMYRU,0,0.43277894663585365,Medium Risk
5351-QESIO,0,0.5522443248860274,Medium Risk
4302-ZYFEL,0,0.03233698613616219,Low Risk
6134-KWTBV,0,0.021404437135127363,Low Risk
2034-GDRCN,1,0.7857448340770803,High Risk
9544-PYPSJ,0,0.25353355483833473,Low Risk
4208-UFFGW,1,0.49112567622168507,Medium Risk
9537-JALFH,0,0.02170399319312846,Low Risk
4415-IJZTP,1,0.8507921014989498,High Risk
4701-MLJPN,1,0.17576922574056883,Low Risk
7515-LODFU,0,0.02892439652544882,Low Risk
4927-WWOOZ,0,0.8196221735211694,High Risk
4067-HLYQI,0,0.28585074283382755,Low Risk
6184-DYUOB,0,0.1573960081084309,Low Risk
9209-NWPGU,0,0.05918205053206547,Low Risk
9851-KIELU,1,0.6166965096959655,High Risk
3199-XGZCY,0,0.7090215243856491,High Risk
4226-KKDON,0,0.24012484481550186,Low Risk
1085-LDWAM,0,0.03202548445319002,Low Risk
6825-UYPFK,1,0.2592652329528902,Low Risk
1767-CJKBA,0,0.022109475347723857,Low Risk
7181-BQYBV,1,0.8431645311732,High Risk
0178-CIIKR,0,0.14413036152485648,Low Risk
4256-ZWTZI,0,0.2892856282092292,Low Risk
9537-VHDTA,0,0.38325945378211934,Medium Risk
2754-XBHTB,1,0.5484115267083205,Medium Risk
5975-BAICR,0,0.08109767794512306,Low Risk
3301-VKTGC,0,0.05409765836588284,Low Risk
2877-VDUER,0,0.061780327128159396,Low Risk
7717-BICXI,0,0.020993103366228828,Low Risk
0562-FGDCR,0,0.020003813680378662,Low Risk
3705-PSNGL,1,0.043286764364994415,Low Risk
0048-LUMLS,0,0.11740112856129709,Low Risk
6497-TILVL,0,0.16864253669121776,Low Risk
2108-YKQTY,1,0.2839687035506557,Low Risk
3658-KIBGF,1,0.47364630043475603,Medium Risk
5482-NUPNA,1,0.1513992396307312,Low Risk
7410-KTVFV,1,0.21160691049369573,Low Risk
9033-EOXWV,1,0.13266770404858907,Low Risk
8821-XNHVZ,1,0.8355368586988469,High Risk
8224-KDLKN,0,0.018710512927289303,Low Risk
4825-FUREZ,0,0.02786676406829052,Low Risk
7534-BFESC,1,0.5321526277876516,Medium Risk
9138-EFSMO,0,0.10851067888112424,Low Risk
4227-OJHAL,0,0.049801083134304924,Low Risk
7279-NMVJC,0,0.043172970346994834,Low Risk
8591-TKMZH,0,0.07936910631086957,Low Risk
9283-LZQOH,1,0.47757727349685886,Medium Risk
3594-IVHJZ,0,0.15044191533090048,Low Risk
1945-XISKS,0,0.02234193046576632,Low Risk
4359-INNWN,0,0.043172970346994834,Low Risk
7649-SIJJF,0,0.023485422956463903,Low Risk
9254-RBFON,1,0.23639899017469418,Low Risk
0970-ETWGE,1,0.8434573483802223,High Risk
7762-ONLJY,0,0.04552659057097905,Low Risk
6710-HSJRD,0,0.3813363637049056,Medium Risk
8873-GLDMH,0,0.6827335924022583,High Risk
9907-SWKKF,1,0.6884993487258998,High Risk
4658-HCOHW,1,0.46366067714627707,Medium Risk
9330-VOFSZ,0,0.1038248080721816,Low Risk
2860-RANUS,1,0.47097013926038483,Medium Risk
6234-PFPXL,0,0.31595238015490573,Medium Risk
7205-BAIAD,0,0.026383572380366597,Low Risk
3858-VOBET,1,0.520554608003595,Medium Risk
5103-MHMHY,1,0.524906575625904,Medium Risk
6119-SPUDB,0,0.028244257103034822,Low Risk
9389-ACWBI,0,0.4996055138678158,Medium Risk
3454-JFUBC,0,0.027122011775017742,Low Risk
1768-ZAIFU,1,0.8006322089447965,High Risk
7017-VFULY,0,0.1217297328402817,Low Risk
9221-OTIVJ,1,0.732445519381202,High Risk
2482-CZGBB,1,0.5798623162297556,Medium Risk
7018-WBJNK,0,0.4446873100336582,Medium Risk
3331-HQDTW,1,0.3131402172314337,Medium Risk
4695-VADHF,1,0.23013067163556936,Low Risk
4086-WITJG,0,0.019151553963343698,Low Risk
6297-NOOPG,0,0.21405786875141705,Low Risk
8777-PVYGU,0,0.05918670469823242,Low Risk
4378-MYPGO,0,0.06916088666068623,Low Risk
9313-CDOGY,0,0.07776173466301668,Low Risk
4121-AGSIN,0,0.03310407823138472,Low Risk
0432-CAJZV,0,0.661177909514381,High Risk
9097-ZUBYC,0,0.14790147481872698,Low Risk
9638-JIQYA,0,0.5549023800254086,Medium Risk
1024-GUALD,1,0.6987121250714675,High Risk
8024-XNAFQ,0,0.08069260840202912,Low Risk
7587-RZNME,1,0.47738008030787593,Medium Risk
1346-UFHAX,0,0.4068560894565131,Medium Risk
6374-NTQLP,0,0.0753636178407429,Low Risk
6625-FLENO,0,0.022934396109798933,Low Risk
7375-WMVMT,0,0.04246610466614372,Low Risk
6910-HADCM,1,0.7944263514344104,High Risk
7401-JIXNM,0,0.027070937332833975,Low Risk
7338-ERIVA,0,0.042213810073769995,Low Risk
5376-DEQCP,1,0.807965147364173,High Risk
0909-SELIE,0,0.02649713373448776,Low Risk
5419-KLXBN,1,0.36545060249154976,Medium Risk
0365-TRTPY,0,0.1698435317428837,Low Risk
6712-OAWRH,1,0.5096031989106445,Medium Risk
2428-ZMCTB,0,0.0861168739938434,Low Risk
1963-VAUKV,1,0.29249495267723064,Low Risk
9381-NDKME,1,0.31495522964926453,Medium Risk
3729-OWRVL,0,0.1531122680913133,Low Risk
0895-LMRSF,0,0.13468856079986055,Low Risk
2676-SSLTO,0,0.04950513473931218,Low Risk
8495-PRWFH,0,0.3065319882940562,Medium Risk
9030-QGZNL,0,0.0318673531337571,Low Risk
9972-NKTFD,0,0.10164732879172288,Low Risk
7998-WNZEM,0,0.0227115448887742,Low Risk
0979-PHULV,1,0.3908623036667674,Medium Risk
6445-TNRXS,0,0.06010164144570884,Low Risk
9586-JGQKH,0,0.08531245192151077,Low Risk
3966-HRMZA,0,0.5670411433444625,Medium Risk
5498-IBWPI,0,0.06267234585400999,Low Risk
6823-SIDFQ,0,0.032839632896374434,Low Risk
2323-ARSVR,0,0.11482955557433971,Low Risk
5468-BPMMO,0,0.08019357048115486,Low Risk
0486-HECZI,1,0.3613278633483867,Medium Risk
2178-PMGCJ,0,0.32257711144449047,Medium Risk
4660-IRIBM,0,0.3168663183613825,Medium Risk
9674-EHPPG,0,0.028471651330061007,Low Risk
5606-AMZBO,0,0.44133926454041295,Medium Risk
0665-XHDJU,0,0.1288837398827835,Low Risk
5402-HTOTQ,0,0.29350486967557476,Low Risk
8258-GSTJK,1,0.7733483995099024,High Risk
3787-TRIAL,0,0.3977368646285008,Medium Risk
6175-IRFIT,0,0.5821687597944888,Medium Risk
6317-YPKDH,1,0.5048984690869894,Medium Risk
5692-FPTAH,1,0.580463604031006,Medium Risk
5373-SFODM,1,0.4036267694765361,Medium Risk
0868-VJRDR,0,0.0777535881597365,Low Risk
4079-VTGLK,0,0.12013909652887016,Low Risk
1166-PQLGG,0,0.01907665239646094,Low Risk
5296-BFCYD,0,0.022309776464597277,Low Risk
6568-POCUI,0,0.07253849701705643,Low Risk
