customerID,ChurnProbability,RiskCategory,tenure,Contract,InternetService,MonthlyCharges,TechSupport,OnlineSecurity,PaymentMethod
5178-LMXOP,0.9005440166897632,High Risk,1,Month-to-month,Fiber optic,95.1,No,No,Electronic check
0295-PPHDO,0.8972438202615458,High Risk,1,Month-to-month,Fiber optic,95.45,No,No,Electronic check
1069-XAIEM,0.8876144236567702,High Risk,1,Month-to-month,Fiber optic,85.05,No,No,Electronic check
9248-OJYKK,0.8797659528562942,High Risk,1,Month-to-month,Fiber optic,76.45,No,No,Electronic check
6861-XWTWQ,0.8700249908539471,High Risk,7,Month-to-month,Fiber optic,99.25,No,No,Electronic check
2609-IAICY,0.8684605729902487,High Risk,1,Month-to-month,Fiber optic,77.15,No,No,Electronic check
6023-YEBUP,0.8657891528036854,High Risk,3,Month-to-month,Fiber optic,100.95,No,No,Electronic check
5167-ZFFMM,0.8637414968263141,High Risk,1,Month-to-month,Fiber optic,90.85,No,No,Credit card (automatic)
8884-ADFVN,0.8634279649946471,High Risk,7,Month-to-month,Fiber optic,101.95,No,No,Electronic check
9057-SIHCH,0.8554091949981449,High Risk,3,Month-to-month,Fiber optic,96.6,No,No,Electronic check
2514-GINMM,0.8536327994855939,High Risk,1,Month-to-month,Fiber optic,79.5,No,No,Electronic check
4415-IJZTP,0.8507921014989498,High Risk,1,Month-to-month,Fiber optic,74.5,No,No,Electronic check
6230-BSUXY,0.8507030754944518,High Risk,1,Month-to-month,Fiber optic,85.0,No,No,Electronic check
3722-WPXTK,0.8463300758248369,High Risk,1,Month-to-month,Fiber optic,88.35,No,No,Electronic check
2202-CUYXZ,0.8443017278038287,High Risk,1,Month-to-month,Fiber optic,84.85,No,No,Electronic check
0970-ETWGE,0.8434573483802223,High Risk,1,Month-to-month,Fiber optic,89.55,No,No,Electronic check
7181-BQYBV,0.8431645311732,High Risk,1,Month-to-month,Fiber optic,102.45,No,Yes,Electronic check
9507-EXLTT,0.8413136932316417,High Risk,1,Month-to-month,Fiber optic,79.35,No,No,Bank transfer (automatic)
6857-VWJDT,0.8384491202769281,High Risk,1,Month-to-month,Fiber optic,95.65,No,No,Mailed check
2254-DLXRI,0.8364946974420137,High Risk,1,Month-to-month,Fiber optic,79.15,No,No,Mailed check
8821-XNHVZ,0.8355368586988469,High Risk,1,Month-to-month,Fiber optic,80.05,No,No,Mailed check
8161-QYMTT,0.835065982920138,High Risk,7,Month-to-month,Fiber optic,94.1,No,No,Electronic check
7180-PISOG,0.8350227761976069,High Risk,1,Month-to-month,Fiber optic,74.5,No,No,Electronic check
0655-RBDUG,0.8325630163863347,High Risk,7,Month-to-month,Fiber optic,98.05,No,No,Bank transfer (automatic)
8375-DKEBR,0.8308332255085912,High Risk,1,Month-to-month,Fiber optic,69.6,No,No,Electronic check
0679-IDSTG,0.8265728458111796,High Risk,1,Month-to-month,Fiber optic,69.25,No,No,Electronic check
1400-MMYXY,0.8256589612494751,High Risk,3,Month-to-month,Fiber optic,105.9,No,No,Electronic check
1628-BIZYP,0.8233170285719864,High Risk,1,Month-to-month,Fiber optic,85.0,No,No,Electronic check
2545-EBUPK,0.8226350705962521,High Risk,2,Month-to-month,Fiber optic,84.05,No,No,Electronic check
4587-VVTOX,0.8216855395304207,High Risk,6,Month-to-month,Fiber optic,105.3,No,No,Electronic check
1143-NMNQJ,0.8210769056793729,High Risk,2,Month-to-month,Fiber optic,85.7,No,No,Electronic check
4927-WWOOZ,0.8196221735211694,High Risk,2,Month-to-month,Fiber optic,91.45,No,No,Electronic check
5196-SGOAK,0.8189331910909251,High Risk,1,Month-to-month,Fiber optic,75.7,No,No,Electronic check
0235-KGSLC,0.8186859515137149,High Risk,1,Month-to-month,Fiber optic,85.55,No,No,Credit card (automatic)
5542-TBBWB,0.8157307058365806,High Risk,1,Month-to-month,Fiber optic,69.9,No,No,Electronic check
9804-ICWBG,0.8157307058365806,High Risk,1,Month-to-month,Fiber optic,69.9,No,No,Electronic check
3707-GNWHM,0.8152523904568287,High Risk,1,Month-to-month,Fiber optic,74.25,No,No,Mailed check
3716-BDVDB,0.8145115250759052,High Risk,1,Month-to-month,Fiber optic,69.1,No,No,Electronic check
1820-TQVEV,0.8145115250759052,High Risk,1,Month-to-month,Fiber optic,69.55,No,No,Electronic check
3006-XIMLN,0.8140666366431036,High Risk,2,Month-to-month,Fiber optic,94.2,No,No,Bank transfer (automatic)
4750-ZRXIU,0.8112242522594113,High Risk,4,Month-to-month,Fiber optic,84.6,No,No,Electronic check
8739-XNIKG,0.8106272833670699,High Risk,5,Month-to-month,Fiber optic,84.0,No,No,Electronic check
